"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
1578,109,"IRL","Ireland",1,"Carlow","","Ceatharlach","Administrative County","County"
1579,109,"IRL","Ireland",2,"Cavan","","An Cabhán","Administrative County","County"
1580,109,"IRL","Ireland",3,"Clare","","An Clár","Administrative County","County"
1581,109,"IRL","Ireland",4,"Cork","","Corcaigh","Traditional County","County"
1582,109,"IRL","Ireland",5,"Donegal","","Dún na nGall|Tyrconnel","Administrative County","County"
1583,109,"IRL","Ireland",6,"Dublin","","Baile Átha Cliath","Administrative County","County"
1584,109,"IRL","Ireland",7,"Galway","","Gaillimh","Traditional County","County"
1585,109,"IRL","Ireland",8,"Kerry","","Ciarraí","Administrative County","County"
1586,109,"IRL","Ireland",9,"Kildare","","Cill Dara","Administrative County","County"
1587,109,"IRL","Ireland",10,"Kilkenny","","Cill Chainnigh","Administrative County","County"
1588,109,"IRL","Ireland",11,"Laoighis","","Laois|Leix|Queens","Administrative County","County"
1589,109,"IRL","Ireland",12,"Leitrim","","Liatroim","Administrative County","County"
1590,109,"IRL","Ireland",13,"Limerick","","Luimneach","Traditional County","County"
1591,109,"IRL","Ireland",14,"Longford","","An Longfort","Administrative County","County"
1592,109,"IRL","Ireland",15,"Louth","","Lú","Administrative County","County"
1593,109,"IRL","Ireland",16,"Mayo","","Maigh Eo","Administrative County","County"
1594,109,"IRL","Ireland",17,"Meath","","An Mhí","Administrative County","County"
1595,109,"IRL","Ireland",18,"Monaghan","","Muineachán","Administrative County","County"
1596,109,"IRL","Ireland",19,"Offaly","","Uíbh Fhailí|Kings","Administrative County","County"
1597,109,"IRL","Ireland",20,"Roscommon","","Ros Comáin","Administrative County","County"
1598,109,"IRL","Ireland",21,"Sligo","","Sligeach","Administrative County","County"
1599,109,"IRL","Ireland",22,"Tipperary","","Tiobraid Árann","Administrative County","County"
1600,109,"IRL","Ireland",23,"Waterford","","Port Láirge","Traditional County","County"
1601,109,"IRL","Ireland",24,"Westmeath","","An Iarmhí","Administrative County","County"
1602,109,"IRL","Ireland",25,"Wexford","","Loch Garman","Administrative County","County"
1603,109,"IRL","Ireland",26,"Wicklow","","Cill Mhantáin","Administrative County","County"
